Date,Entity,Value
2022-01-12,PORTFOLIO,14825.581939027077
2022-01-13,PORTFOLIO,14635.427805117997
2022-01-14,PORTFOLIO,14694.590985897938
2022-01-18,PORTFOLIO,14477.111614838821
2022-01-19,PORTFOLIO,14325.165004623606
2022-01-20,PORTFOLIO,14193.203762626947
2022-01-21,PORTFOLIO,13938.035663864035
2022-01-24,PORTFOLIO,13981.839476728655
2022-01-25,PORTFOLIO,13985.206420033484
2022-01-26,PORTFOLIO,13982.556989444487
2022-01-27,PORTFOLIO,13961.797932026018
2022-01-28,PORTFOLIO,14234.922877708652
2022-01-31,PORTFOLIO,14411.67864300145
2022-02-01,PORTFOLIO,14588.918478454081
2022-02-02,PORTFOLIO,14709.52451014504
2022-02-03,PORTFOLIO,14482.05642412943
2022-02-04,PORTFOLIO,14591.337804931318
2022-02-07,PORTFOLIO,14603.521493334592
2022-02-08,PORTFOLIO,14665.428966740217
2022-02-09,PORTFOLIO,14839.289160955594
2022-02-10,PORTFOLIO,14617.34688707375
2022-02-11,PORTFOLIO,14473.966297267247
2022-02-14,PORTFOLIO,14333.28251750425
2022-02-15,PORTFOLIO,14496.11706439174
2022-02-16,PORTFOLIO,14526.49631670429
2022-02-17,PORTFOLIO,14253.902255733286
2022-02-18,PORTFOLIO,14167.047529713765
2022-02-22,PORTFOLIO,14043.07350244326
2022-02-23,PORTFOLIO,13888.824599340072
2022-02-24,PORTFOLIO,13981.617614097226
2022-02-25,PORTFOLIO,14330.748994180436
2022-02-28,PORTFOLIO,14324.771723793992
2022-03-01,PORTFOLIO,14131.19800541064
2022-03-02,PORTFOLIO,14424.793119625512
2022-03-03,PORTFOLIO,14389.570322226526
2022-03-04,PORTFOLIO,14359.36956978487
2022-03-07,PORTFOLIO,14057.021224055727
2022-03-08,PORTFOLIO,13992.364240796602
2022-03-09,PORTFOLIO,14248.2542070633
2022-03-10,PORTFOLIO,14247.751999855225
2022-03-11,PORTFOLIO,14097.093415400095
2022-03-14,PORTFOLIO,13995.380043617162
2022-03-15,PORTFOLIO,14143.787241362937
2022-03-16,PORTFOLIO,14398.877891334796
2022-03-17,PORTFOLIO,14635.941374577706
2022-03-18,PORTFOLIO,14749.96971063083
2022-03-21,PORTFOLIO,14857.29019751876
2022-03-22,PORTFOLIO,14961.790382827308
2022-03-23,PORTFOLIO,14819.612160926388
2022-03-24,PORTFOLIO,15007.761889989868
2022-03-25,PORTFOLIO,15138.941229727865
2022-03-28,PORTFOLIO,15135.052361585043
2022-03-29,PORTFOLIO,15253.674480646088
2022-03-30,PORTFOLIO,15213.945942697976
2022-03-31,PORTFOLIO,14981.28672160012
2022-04-01,PORTFOLIO,15021.022812569186
2022-04-04,PORTFOLIO,15069.338437759181
2022-04-05,PORTFOLIO,14907.91938455629
2022-04-06,PORTFOLIO,14850.137700047671
2022-04-07,PORTFOLIO,14962.572457035923
